STORER,LOT,ITEMNUMBER,STORERLOT,DOCUMENTNUMBER,STARTDATE,STARTTIME,COMPLETIONDATE,COMPLETIONTIME,COMPLETEDBY,PALLET,DOCUMENTDESCRIPTION,REASON,FULLDESCRIPTION,CUSTOMERNAME,FROMTO,QUANTITY,INNERPACK,CREATEDATE,CREATETIME,UMIID,CASES
"001859","0923285   ","HFS837                   ","3146                ","0318674   ","2023-10-06","08.21.42","2023-10-06","08.24.15","LORENZO   ","0923285-20  ","Pick                          ",,"Sprout Organics CoComelon Yes Yes Veggie 8+ Months3.5 oz                                            ","Sprout Foods, Inc             ","From: A027       To:           ",-7       ,2      ,"2023-10-06","08.21.42",1      ,3.50       
"001859","0951178   ","HFS839                   ","3191                ","0318681   ","2023-10-06","08.20.52","2023-10-06","08.24.26","ERICKA    ","0951178-14  ","Pick                          ",,"Sprout Organics CoComelon Apple Oatmeal Raisin andCinnamon 6+ Months 3.5 oz                         ","Sprout Foods, Inc             ","From: A033       To:           ",-4       ,2      ,"2023-10-06","08.20.52",1      ,2.00       
"001859","0951178   ","HFS839                   ","3191                ","0318674   ","2023-10-06","08.24.16","2023-10-06","08.26.02","LORENZO   ","0951178-14  ","Pick                          ",,"Sprout Organics CoComelon Apple Oatmeal Raisin andCinnamon 6+ Months 3.5 oz                         ","Sprout Foods, Inc             ","From: A033       To:           ",-7       ,2      ,"2023-10-06","08.24.16",1      ,3.50       
"001859","0889628   ","SNK534                   ","3086                ","0318677   ","2023-10-06","08.26.19","2023-10-06","08.26.32","LAURA     ","0889628-04  ","Pick                          ",,"Sprout Organics CoComelon Wafflez Toddler Snack Chocolate Chip and Oatmeal 5 Waffles 0.63 oz Eac    ","Sprout Foods, Inc             ","From: D042       To:           ",-5       ,1      ,"2023-10-06","08.26.19",1      ,1.00       
"001859","0924909   ","HFS841                   ","3152                ","0318681   ","2023-10-06","08.24.27","2023-10-06","08.26.48","ERICKA    ","0924909-09  ","Pick                          ",,"Sprout Organics CoComelon Dairy-Free Smoothie Berry Grape Coconut Milk Veggies and Flax Seed 12     ","Sprout Foods, Inc             ","From: D008       To:           ",-7       ,2      ,"2023-10-06","08.24.27",1      ,3.50       
"001859","0950577   ","SNK844                   ","3220                ","0318677   ","2023-10-06","08.26.32","2023-10-06","08.28.24","LAURA     ","0950577-10  ","Pick                          ",,"Sprout Organics CoComelon Curlz Toddler Snack White Cheddar 1.48 oz                                 ","Sprout Foods, Inc             ","From: C030       To:           ",-2       ,1      ,"2023-10-06","08.26.32",1      ,1.00       
"001859","0924909   ","HFS841                   ","3152                ","0318674   ","2023-10-06","08.26.03","2023-10-06","08.28.53","LORENZO   ","0924909-09  ","Pick                          ",,"Sprout Organics CoComelon Dairy-Free Smoothie Berry Grape Coconut Milk Veggies and Flax Seed 12     ","Sprout Foods, Inc             ","From: D008       To:           ",-3       ,2      ,"2023-10-06","08.26.03",1      ,1.50       
"001861","0905574   ","5757011                  ","849151              ","0318546   ","2023-10-06","08.29.14","2023-10-06","08.29.14","justinaf  ","0905574-01  ","Pick                          ",,"Good Mat - Weight 1.75; Width 70.125; IKO                                                           ","IKO                           ","From: B002       To: *PICK     ",-1       ,1      ,"2023-10-06","08.29.14",0      ,1.00       
"001861","0905573   ","5757011                  ","849142              ","0318546   ","2023-10-06","08.29.25","2023-10-06","08.29.25","justinaf  ","0905573-01  ","Pick                          ",,"Good Mat - Weight 1.75; Width 70.125; IKO                                                           ","IKO                           ","From: B002       To: *PICK     ",-1       ,1      ,"2023-10-06","08.29.25",0      ,1.00       
"001861","0905578   ","5757011                  ","849172              ","0318546   ","2023-10-06","08.29.36","2023-10-06","08.29.36","justinaf  ","0905578-01  ","Pick                          ",,"Good Mat - Weight 1.75; Width 70.125; IKO                                                           ","IKO                           ","From: B002       To: *PICK     ",-1       ,1      ,"2023-10-06","08.29.36",0      ,1.00       
"001861","0905577   ","5757011                  ","849171              ","0318546   ","2023-10-06","08.29.46","2023-10-06","08.29.46","justinaf  ","0905577-01  ","Pick                          ",,"Good Mat - Weight 1.75; Width 70.125; IKO                                                           ","IKO                           ","From: B002       To: *PICK     ",-1       ,1      ,"2023-10-06","08.29.46",0      ,1.00       
"001859","0908620   ","SNK856                   ","3004                ","0318677   ","2023-10-06","08.28.24","2023-10-06","08.29.54","LAURA     ","0908620-14  ","Pick                          ",,"Sprout Organics CoComelon Wafflez Toddler Snack SPR CM BLUEBERRY APPLE WAFF                         ","Sprout Foods, Inc             ","From: D050       To:           ",-4       ,1      ,"2023-10-06","08.28.24",1      ,1.00       
